frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,sclk,sol
ROVER,114,408,4,-11956.350,-3004.141,-850.739,-283995.618,8143807.082,-4.791177853,-4.847811970,137.390951316,-3650.261,49926.47,11076.33,12482.54,2769.59,4.256,2.358,-144.570,0.303277550,0.030885652,-0.029105198,-0.951956750,795208973,4480
ROVER,114,414,4,-11956.990,-3004.612,-850.783,-283996.258,8143806.611,-4.791188654,-4.847822897,137.390943370,-3650.217,49929.03,11074.44,12483.18,2769.12,3.894,2.199,-144.533,0.303738200,0.028609267,-0.026512546,-0.951956750,795209019,4480
ROVER,114,420,2,-11957.502,-3005.097,-850.800,-283996.770,8143806.126,-4.791197291,-4.847831636,137.390935185,-3650.200,49931.08,11072.50,12483.70,2768.63,4.832,1.765,-128.714,0.431740020,0.032119040,-0.031340677,-0.900881050,795209111,4480
ROVER,114,426,4,-11958.003,-3005.951,-850.820,-283997.271,8143805.272,-4.791205732,-4.847840176,137.390920793,-3650.180,49933.08,11069.09,12484.20,2767.78,7.136,1.939,-115.331,0.532855100,0.047549207,-0.043545514,-0.843746600,795209159,4480
ROVER,114,432,4,-11958.292,-3006.783,-850.880,-283997.560,8143804.440,-4.791210622,-4.847845123,137.390906753,-3650.120,49934.24,11065.76,12484.49,2766.95,6.305,0.157,-110.943,0.565892300,0.032299820,-0.044532870,-0.822641800,795209211,4480
ROVER,114,438,4,-11958.572,-3007.648,-850.837,-283997.840,8143803.575,-4.791215339,-4.847849894,137.390892162,-3650.163,49935.36,11062.30,12484.76,2766.08,7.151,1.555,-110.807,0.565942100,0.046549910,-0.043641657,-0.821972100,795209260,4480
ROVER,114,444,4,-11958.880,-3008.527,-850.848,-283998.148,8143802.696,-4.791220537,-4.847855153,137.390877329,-3650.152,49936.59,11058.78,12485.07,2765.20,5.253,2.299,-110.247,0.570342300,0.042638210,-0.026127389,-0.819883500,795209308,4480
ROVER,114,450,2,-11959.107,-3009.528,-850.861,-283998.375,8143801.695,-4.791224372,-4.847859034,137.390860436,-3650.139,49937.50,11054.78,12485.30,2764.20,4.777,-0.905,-95.691,0.670772600,0.022115989,-0.036192615,-0.740449250,795209396,4480
ROVER,114,456,4,-11959.119,-3010.371,-850.864,-283998.387,8143800.852,-4.791224562,-4.847859225,137.390846218,-3650.136,49937.55,11051.41,12485.31,2763.36,4.747,-0.796,-94.423,0.678904100,0.023036946,-0.035108860,-0.733025130,795209444,4480
ROVER,114,462,4,-11959.173,-3011.320,-850.828,-283998.441,8143799.903,-4.791225477,-4.847860152,137.390830202,-3650.172,49937.76,11047.61,12485.37,2762.41,4.887,-0.352,-93.832,0.682541200,0.026882870,-0.033235494,-0.729595900,795209493,4480
ROVER,114,468,4,-11959.224,-3012.289,-850.812,-283998.492,8143798.934,-4.791226347,-4.847861031,137.390813865,-3650.188,49937.97,11043.74,12485.42,2761.44,4.869,-1.633,-93.427,0.685399000,0.018756362,-0.040680245,-0.726788500,795209540,4480
ROVER,114,474,4,-11959.256,-3013.220,-850.797,-283998.524,8143798.003,-4.791226883,-4.847861574,137.390798154,-3650.203,49938.10,11040.01,12485.45,2760.51,6.167,1.099,-93.545,0.683495340,0.043813046,-0.032635156,-0.727907600,795209588,4480
ROVER,114,480,4,-11959.303,-3014.211,-850.822,-283998.571,8143797.012,-4.791227675,-4.847862375,137.390781429,-3650.178,49938.28,11036.05,12485.50,2759.52,7.235,1.153,-93.614,0.682597760,0.050504014,-0.039128370,-0.727996300,795209633,4480
ROVER,114,486,4,-11959.348,-3015.144,-850.825,-283998.616,8143796.079,-4.791228427,-4.847863136,137.390765686,-3650.175,49938.46,11032.31,12485.54,2758.59,7.174,0.233,-93.591,0.683168000,0.044309553,-0.044218026,-0.727573340,795209685,4480
ROVER,114,492,4,-11959.334,-3016.281,-850.797,-283998.602,8143794.942,-4.791228195,-4.847862901,137.390746506,-3650.203,49938.41,11027.77,12485.53,2757.45,6.592,0.949,-93.387,0.684395130,0.045454532,-0.036164995,-0.726793800,795209771,4480
ROVER,114,498,4,-11959.345,-3016.693,-850.802,-283998.613,8143794.530,-4.791228387,-4.847863095,137.390739566,-3650.198,49938.45,11026.12,12485.54,2757.04,7.117,0.718,-93.585,0.683026300,0.047051720,-0.040952183,-0.727725270,795209835,4480
ROVER,114,504,2,-11959.407,-3017.701,-850.839,-283998.675,8143793.522,-4.791229422,-4.847864143,137.390722552,-3650.161,49938.70,11022.09,12485.60,2756.03,6.677,3.179,-93.751,0.680986170,0.060001418,-0.023558853,-0.729453600,795210029,4480
ROVER,114,510,4,-11959.449,-3018.663,-850.824,-283998.717,8143792.560,-4.791230139,-4.847864868,137.390706325,-3650.176,49938.87,11018.24,12485.64,2755.07,7.438,-0.382,-94.765,0.675831100,0.041473680,-0.049985755,-0.734189150,795210092,4480
ROVER,114,516,4,-11959.451,-3019.582,-850.777,-283998.719,8143791.641,-4.791230166,-4.847864896,137.390690827,-3650.223,49938.88,11014.57,12485.64,2754.15,6.691,-1.333,-89.297,0.710650440,0.033352066,-0.049268900,-0.701025070,795210157,4480
ROVER,114,522,4,-11959.390,-3020.576,-850.768,-283998.658,8143790.647,-4.791229140,-4.847863858,137.390674059,-3650.232,49938.63,11010.59,12485.58,2753.15,6.645,-0.950,-89.070,0.711938140,0.035504334,-0.046542823,-0.699798050,795210203,4480
ROVER,114,528,4,-11959.315,-3021.583,-850.742,-283998.583,8143789.640,-4.791227867,-4.847862569,137.390657068,-3650.258,49938.33,11006.56,12485.51,2752.15,4.592,1.113,-88.397,0.716048360,0.035488546,-0.020967906,-0.696832600,795210307,4480
ROVER,114,534,6,-11959.310,-3021.694,-850.746,-283998.578,8143789.529,-4.791227782,-4.847862483,137.390655184,-3650.254,49938.31,11006.11,12485.50,2752.04,4.478,1.852,-88.484,0.715320800,0.039253756,-0.015688518,-0.697516400,795210367,4480
ROVER,114,540,4,-11959.242,-3021.658,-850.725,-283998.510,8143789.565,-4.791226641,-4.847861329,137.390655797,-3650.275,49938.04,11006.26,12485.43,2752.07,3.140,4.964,-138.326,0.354138370,0.050195640,-0.010181677,-0.933789430,795468689,4483
